Recommended Movies
Spider-Man
Spider-Man 3
Spider-Man 2
The Notebook
Seabiscuit
Clerks II
The Ice Storm
Oz: The Great and Powerful
Horrible Bosses
The Count of Monte Cristo
In Good Company
Finding Nemo
Clear and Present Danger
Brothers
The Good German
Drag Me to Hell
Bambi
The Queen
Charly
Escape from L.A.
Daybreakers
The Life Aquatic with Steve Zissou
Labor Day
Wimbledon
Cold Mountain
Hearts in Atlantis
Out of the Furnace
Bullets Over Broadway
The Purge: Election Year
